stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
52,0.5,1.5,88.39833069999986,88.89783140000009,88.89783140000009,88.89783140000009,89.19848499999989,left,-1.5,1,1,0.5778902000001835,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
53,0.5,1.5,89.4980628999997,89.98178869999992,89.98178869999992,89.99823419999984,90.2823472,left,-1.5,1,1,0.6862903000001097,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
54,0.5,1.5,90.69878459999973,91.19921190000014,91.19921190000014,91.19921190000014,91.4986743999998,left,-1.5,1,1,1.1414974999997867,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
55,0.5,1.0,92.36526619999995,92.86483039999985,92.86483039999985,92.86483039999985,93.16547649999984,right,1.0,1,1,0.8815868000001501,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
56,0.5,1.0,93.76536899999974,94.2651020999997,94.2651020999997,94.2651020999997,94.56531519999999,left,-1.0,1,1,0.5100496000000021,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
57,0.5,1.0,94.79813289999993,95.28155849999985,95.28155849999985,95.29848510000011,95.59722109999984,left,-1.0,1,1,0.6856742000004488,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
58,0.5,1.0,95.99768589999985,96.48108909999974,96.48108909999974,96.49781780000012,96.7810485,left,-1.0,1,1,0.5511188000000402,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
59,0.5,1.0,97.06387169999971,97.54715709999982,97.54715709999982,97.56362970000009,97.8478540000001,left,-1.0,1,1,0.6575861000001169,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
60,0.5,1.0,98.23131079999985,98.73142419999976,98.73142419999976,98.73142419999976,99.03105749999986,left,-1.0,1,1,0.7761135999999169,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
61,0.5,1.0,99.53127050000012,100.0146292999998,100.0146292999998,100.03133279999975,100.3143912999999,right,1.0,1,1,0.5193661000002976,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
62,0.5,1.0,100.56478459999971,101.06396450000011,101.06396450000011,101.06396450000011,101.36433039999974,left,-1.0,1,1,0.6684449000003951,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
63,0.5,1.0,101.764365,102.26397569999972,102.26397569999972,102.26397569999972,102.56434239999999,right,1.0,0,0,0.8808952000003956,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
64,0.5,1.5,103.1637854999999,103.66439009999976,103.66439009999976,103.66439009999976,103.96369409999988,right,1.5,1,1,0.7753220000004148,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
65,0.5,1.5,104.46403789999977,104.96403520000013,104.96403520000013,104.96403520000013,105.26345110000011,left,-1.5,0,0,0.9597831000000951,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
66,0.5,2.0,105.94665189999978,106.44664280000006,106.44664280000006,106.44664280000006,106.74693720000005,right,2.0,1,1,0.8018092000002071,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
67,0.5,2.0,107.28010050000012,107.78019919999997,107.78019919999997,107.78019919999997,108.08007259999977,right,2.0,1,1,0.5581849000000147,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
68,0.5,2.0,108.36347669999986,108.86293569999998,108.86293569999998,108.86293569999998,109.16284929999983,left,-2.0,1,1,0.6585324000002402,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
69,0.5,1.5,109.5462462999999,110.04644559999997,110.04644559999997,110.04644559999997,110.34606759999997,left,-1.5,1,1,0.9542568000001665,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
70,0.5,1.5,111.02971769999976,111.52923749999991,111.52923749999991,111.52923749999991,111.82920449999983,right,1.5,1,1,0.7853620000005321,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
71,0.5,1.5,112.34631669999999,112.82911779999995,112.82911779999995,112.84618240000009,113.12950999999975,left,-1.5,1,1,0.637853300000188,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
72,0.5,1.0,113.49658090000003,113.99555539999983,113.99555539999983,113.99555539999983,114.29557019999993,left,-1.0,1,1,0.9038429000001997,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
73,0.5,1.0,114.92918150000014,115.42954740000005,115.42954740000005,115.42954740000005,115.72877440000002,right,1.0,1,1,0.3814676000001782,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
74,0.5,1.0,115.8290093999999,116.3287121999997,116.3287121999997,116.3287121999997,116.62891230000014,left,-1.0,0,0,0.9132382000002508,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
75,0.5,1.5,117.26178870000012,117.76170430000002,117.76170430000002,117.76170430000002,118.06192319999991,left,-1.5,1,1,0.5246608000002198,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
76,0.5,1.5,118.3117500999997,118.81182069999977,118.81182069999977,118.81182069999977,119.1115362999999,left,-1.5,1,1,0.4215559999997822,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
77,0.5,1.5,119.26159370000005,119.76165919999994,119.76165919999994,119.76165919999994,120.06162489999997,right,1.5,1,1,0.7960037000002558,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
